parameter,n,ratio_median,ratio_q25,ratio_q75,vivo_median,vitro_median,delta_median,scope
O2_crit,60,0.16811640600132066,0.10639238498178,0.326663173442665,0.2592748912292165,1.58620678578554,-0.780428130134768,all_joint_top10_results
alpha_o2,60,4.43231156674782,2.57592645281222,6.37975234099986,2.21615578337391,0.5,0.6363839784566,all_joint_top10_results
buffer_beta,60,0.07080794757440102,0.02784940671329756,0.1039435934499941,0.11266466899139625,1.59113027351929,-1.15315575204308,all_joint_top10_results
buffer_n_exp,60,2.8716552362884213,0.2835928816751815,3.1669962368874054,9.06744126450478,3.15756611375965,0.45582319029667895,all_joint_top10_results
buffer_smax,60,0.9111756920750076,0.90411284701051,0.964934689479191,0.9111756920750076,1.0,-0.08882430792499249,all_joint_top10_results
gamma_growth,60,1.7035643164872334,1.4949876565866067,1.9082480871442133,2.55534647473085,1.5,1.05534647473085,all_joint_top10_results
gamma_mu,60,2.1665790756721695,2.0544866971012823,2.232269574593,2.63750521250042,1.2,1.43318967088538,all_joint_top10_results
k_o_mis,60,17.110364942434558,9.113350450922965,24.31017964638528,0.0019317376594748998,0.0001128986825222,1.21883216245145,all_joint_top10_results
lam_max,60,0.17712788788306139,0.09935660840616935,0.18292464320173255,0.2388596480257755,1.3485151936293,-0.7517130684194715,all_joint_top10_results
mu_hp,60,16.57976572638518,10.26955833967144,29.786592368488,0.08289882863192591,0.005,1.18651137565705,all_joint_top10_results
n_O,60,1.559635433814827,1.1626426798733,1.9664783441298717,2.9142955213185653,1.86857483366499,1.045720687653575,all_joint_top10_results
p_mis_base,60,34.19218435566449,2.0182882041116894,1361.228485961756,0.000284420632124821,8.54181703118544e-06,1.3900645919477599,all_joint_top10_results
p_misseg,60,16.839412506164834,11.314046821128509,47.37757954094582,0.17771499377265,0.0105535150770604,1.225794988252575,all_joint_top10_results
p_wgd,60,0.8612722485668161,0.6235682601706457,1.0385192819949494,0.00022120398029965,0.0003312053922759,-0.0648727209169745,all_joint_top10_results
O2_crit,6,0.1681164060013211,0.11486328901652759,0.2939865828024667,0.2592748912292165,1.58620678578554,-0.780428130134768,best_seed_per_warm_start_pair
alpha_o2,6,4.43231156674782,2.80213408294581,6.13078079578716,2.21615578337391,0.5,0.6363839784566,best_seed_per_warm_start_pair
buffer_beta,6,0.07080794757440102,0.036435515540121866,0.09781320836954739,0.11266466899139625,1.59113027351929,-1.15315575204308,best_seed_per_warm_start_pair
buffer_n_exp,6,2.8716552362884213,0.8567732201787456,3.1669962368874054,9.06744126450478,3.15756611375965,0.45582319029667895,best_seed_per_warm_start_pair
buffer_smax,6,0.9111756920750076,0.9052135327967037,0.9521599656080758,0.9111756920750076,1.0,-0.08882430792499249,best_seed_per_warm_start_pair
gamma_growth,6,1.7035643164872334,1.5459704341545768,1.858238531887155,2.55534647473085,1.5,1.05534647473085,best_seed_per_warm_start_pair
gamma_mu,6,2.182289789093633,2.1374188127887312,2.223682433549004,2.65811435100601,1.2,1.45811435100601,best_seed_per_warm_start_pair
k_o_mis,6,17.110364942434558,10.028082541029002,23.594747503169458,0.0019317376594748998,0.0001128986825222,1.21883216245145,best_seed_per_warm_start_pair
lam_max,6,0.17712788788306139,0.11878882710807709,0.18148605553938024,0.2388596480257755,1.3485151936293,-0.7517130684194715,best_seed_per_warm_start_pair
mu_hp,6,16.57976572638518,10.289298377652369,28.0426975166598,0.08289882863192591,0.005,1.18651137565705,best_seed_per_warm_start_pair
n_O,6,1.559635433814827,1.2180758931639062,1.9085825917458863,2.9142955213185653,1.86857483366499,1.045720687653575,best_seed_per_warm_start_pair
p_mis_base,6,32.167647744408114,2.990846315446437,1035.4190251631064,0.0002571058986050682,8.54181703118544e-06,1.282882889100478,best_seed_per_warm_start_pair
p_misseg,6,16.839412506164834,12.487151072479396,39.95127495215876,0.17771499377265,0.0105535150770604,1.225794988252575,best_seed_per_warm_start_pair
p_wgd,6,0.9890110926879413,0.8659815469729076,1.0303194848559531,0.0002790067037753,0.00032604675670275,-0.004976894173104849,best_seed_per_warm_start_pair
O2_crit,10,0.14027600112077038,0.14027600112077038,0.14027600112077038,0.222506744860626,1.58620678578554,-0.853016623143665,overall_best_pair_top10
alpha_o2,10,5.38386616014906,5.38386616014906,5.38386616014906,2.69193308007453,0.5,0.731094255036276,overall_best_pair_top10
buffer_beta,10,0.1039435934499941,0.1039435934499941,0.1039435934499941,0.165387798276667,1.59113027351929,-0.983202273192138,overall_best_pair_top10
buffer_n_exp,10,3.1669962368874054,3.1669962368874054,3.1669962368874054,10.0,3.15756611375965,0.500647547331493,overall_best_pair_top10
buffer_smax,10,0.908515590155285,0.908515590155285,0.908515590155285,0.908515590155285,1.0,-0.091484409844715,overall_best_pair_top10
gamma_growth,10,2.2050581750220464,2.2050581750220464,2.2050581750220464,3.30758726253307,1.5,1.80758726253307,overall_best_pair_top10
gamma_mu,10,2.1979210104170166,2.1979210104170166,2.1979210104170166,2.63750521250042,1.2,1.43750521250042,overall_best_pair_top10
k_o_mis,10,9.113350450922965,9.113350450922965,9.113350450922965,0.0010288852592723,0.0001128986825222,0.959678071247266,overall_best_pair_top10
lam_max,10,0.1771702925523233,0.1771702925523233,0.1771702925523233,0.238916831366556,1.3485151936293,-0.751609097698433,overall_best_pair_top10
mu_hp,10,10.26955833967144,10.26955833967144,10.26955833967144,0.0513477916983572,0.005,1.01155176640467,overall_best_pair_top10
n_O,10,1.1626426798733,1.1626426798733,1.1626426798733,2.17248485215607,1.86857483366499,0.30391001849108,overall_best_pair_top10
p_mis_base,10,1.0320982040672009,1.029126253473216,1.0320982040672029,8.81599401735714e-06,8.54181703118544e-06,0.0137210223448498,overall_best_pair_top10
p_misseg,10,11.120236552823787,11.120236552823787,11.120236552823787,0.117357584120704,0.0105535150770604,1.04611402577961,overall_best_pair_top10
p_wgd,10,0.8697787131848718,0.8152075242599207,0.9465027989980886,0.0002289678369083,0.00026328866640045,-0.06065768342645465,overall_best_pair_top10
