parameter,value,seed
lam_max,1.3485151936293,seed10
p_misseg,0.0105535150770604,seed10
k_o_mis,0.0001128986825222,seed10
buffer_smax,1.0,seed10
buffer_beta,1.59113027351929,seed10
buffer_n_exp,3.15756611375965,seed10
p_wgd,0.0003312053922759,seed10
o2_S0,3.5,seed10
kappa_O,0.5,seed10
eta_o2,1.2,seed10
rho_2N,56000.0,seed10
beta_size,0.35,seed10
alpha_o2,0.5,seed10
gamma_growth,1.5,seed10
mu_hp,0.005,seed10
gamma_mu,1.2,seed10
O2_crit,1.58620678578554,seed10
n_O,1.86857483366499,seed10
k_clear,0.0001,seed10
sigma_burden,0.2,seed10
sigma_growth,0.203840002499712,seed10
sigma_kary,0.0233545733387599,seed10
init_mean_2N,46.3459118478185,seed10
init_sd_2N,2.43406581031514,seed10
init_mean_4N,83.8021620039257,seed10
init_sd_4N,3.61719096780439,seed10
tau_O2,0.1,seed10
alpha,0.0001,seed10
gamma,1.0,seed10
p_mis_base,8.54181703118544e-06,seed10
o2_S0_upper_bound,21.0,seed10
o2_min,0.0,seed10
o2_Nref,1000000.0,seed10
lam_max,1.34496693050164,seed132
p_misseg,0.0104318498107959,seed132
k_o_mis,0.0001211800334406,seed132
buffer_smax,1.0,seed132
buffer_beta,1.60341948655073,seed132
buffer_n_exp,3.1660999308989,seed132
p_wgd,0.000377794934551,seed132
o2_S0,3.5,seed132
kappa_O,0.5,seed132
eta_o2,1.2,seed132
rho_2N,56000.0,seed132
beta_size,0.35,seed132
alpha_o2,0.5,seed132
gamma_growth,1.5,seed132
mu_hp,0.005,seed132
gamma_mu,1.2,seed132
O2_crit,1.6003510863848,seed132
n_O,1.85652272338118,seed132
k_clear,0.0001,seed132
sigma_burden,0.2,seed132
sigma_growth,0.20343841604087,seed132
sigma_kary,0.103728055113617,seed132
init_mean_2N,46.4057410307934,seed132
init_sd_2N,2.43166459958213,seed132
init_mean_4N,83.6670738768734,seed132
init_sd_4N,3.66761832144753,seed132
tau_O2,0.1,seed132
alpha,0.0001,seed132
gamma,1.0,seed132
p_mis_base,6.24279244492441e-05,seed132
o2_S0_upper_bound,21.0,seed132
o2_min,0.0,seed132
o2_Nref,1000000.0,seed132
lam_max,1.33868438480722,seed81
p_misseg,0.0104603493987707,seed81
k_o_mis,0.0001416531038779,seed81
buffer_smax,1.0,seed81
buffer_beta,1.59179682024293,seed81
buffer_n_exp,3.1658762175559,seed81
p_wgd,0.0003438270176808,seed81
o2_S0,3.5,seed81
kappa_O,0.5,seed81
eta_o2,1.2,seed81
rho_2N,56000.0,seed81
beta_size,0.35,seed81
alpha_o2,0.5,seed81
gamma_growth,1.5,seed81
mu_hp,0.005,seed81
gamma_mu,1.2,seed81
O2_crit,1.41013741044744,seed81
n_O,1.72630613408288,seed81
k_clear,0.0001,seed81
sigma_burden,0.2,seed81
sigma_growth,0.203125235915548,seed81
sigma_kary,0.016949317002769,seed81
init_mean_2N,46.3586385455682,seed81
init_sd_2N,2.43742917345152,seed81
init_mean_4N,83.7030256596446,seed81
init_sd_4N,3.64259159251935,seed81
tau_O2,0.1,seed81
alpha,0.0001,seed81
gamma,1.0,seed81
p_mis_base,0.0001145104051822,seed81
o2_S0_upper_bound,21.0,seed81
o2_min,0.0,seed81
o2_Nref,1000000.0,seed81
lam_max,1.37488651585037,seed294
p_misseg,0.0103878001943909,seed294
k_o_mis,9.21977755637312e-05,seed294
buffer_smax,1.0,seed294
buffer_beta,1.53704660181534,seed294
buffer_n_exp,3.09392659458932,seed294
p_wgd,0.0003229657122314,seed294
o2_S0,3.5,seed294
kappa_O,0.5,seed294
