package	observed_hpc_version	target_version	status	direct_scopes	analysis_runtime	o2_runtime	source	repository	remote_type	remote_repo	remote_ref	remote_sha	priority	built	needs_compilation	system_requirements	source_md5	notes
askpass	1.2.1	1.2.1	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	yes			
base64enc	0.1-6	0.1-6	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.2	yes			
BH	1.90.0-1	1.90.0-1	observed_on_hpc		TRUE	TRUE	Repository	CRAN						4.4.2	no			
bslib	0.11.0	0.11.0	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	no			
cachem	1.1.0	1.1.0	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	yes			
cellranger	1.1.0	1.1.0	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.1	no			
cli	3.6.6	3.6.6	observed_on_hpc		TRUE	TRUE	Repository	CRAN						4.4.2	yes			
cluster	2.1.8.1	2.1.8.1	observed_on_hpc	analysis_direct;repository_other	TRUE	TRUE	R	CRAN					recommended	4.4.2	yes			
compiler	4.4.2	4.4.2	observed_on_hpc		TRUE	TRUE	R						base	4.4.2				
cowplot	1.2.0	1.2.0	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.2	no			
cpp11	0.5.5	0.5.5	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	no			
crayon	1.5.3	1.5.3	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	no			
curl	7.1.0	7.1.0	observed_on_hpc		FALSE	FALSE	Repository	CRAN						4.4.2	yes	libcurl (>= 7.73): libcurl-devel (rpm) or libcurl4-openssl-dev (deb)		
data.table	1.18.4	1.18.4	observed_on_hpc	analysis_direct;o2_runtime;repository_other	TRUE	TRUE	Repository	CRAN						4.4.2	yes			
DEoptim	2.2-8	2.2-8	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.2	yes			
digest	0.6.39	0.6.39	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	yes			
dplyr	1.2.1	1.2.1	observed_on_hpc	analysis_direct;o2_auxiliary;o2_runtime;o2_test;repository_other	TRUE	TRUE	Repository	CRAN						4.4.2	yes			
dqrng	0.4.1	0.4.1	observed_on_hpc		TRUE	TRUE	Repository	CRAN						4.4.1	yes			
evaluate	1.0.5	1.0.5	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	no			
farver	2.1.2	2.1.2	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.1	yes			
fastmap	1.2.0	1.2.0	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	yes			
FNN	1.1.4.1	1.1.4.1	observed_on_hpc		TRUE	TRUE	Repository	CRAN						4.4.1	yes			
fontawesome	0.5.3	0.5.3	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	no			
fs	2.1.0	2.1.0	observed_on_hpc		FALSE	TRUE	Repository	CRAN						4.4.2	yes	libuv: libuv-devel (rpm) or libuv1-dev (deb). Alternatively to build the vendored libuv 'cmake' is required. GNU make.		
generics	0.1.4	0.1.4	observed_on_hpc		TRUE	TRUE	Repository	CRAN						4.4.2	no			
ggalluvial	0.12.6	0.12.6	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.2	no			
ggh4x	0.3.1	0.3.1	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.2	no			
ggnewscale	0.5.2	0.5.2	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.2	no			
ggplot2	4.0.3	4.0.3	observed_on_hpc	o2_runtime;repository_other	FALSE	TRUE	Repository	CRAN						4.4.2	no			
ggrepel	0.9.8	0.9.8	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.2	yes			
glue	1.8.1	1.8.1	observed_on_hpc		TRUE	TRUE	Repository	CRAN						4.4.2	yes			
graphics	4.4.2	4.4.2	observed_on_hpc	o2_auxiliary;o2_runtime;o2_test	TRUE	TRUE	R						base	4.4.2	yes			
grDevices	4.4.2	4.4.2	observed_on_hpc	analysis_direct;o2_auxiliary;o2_runtime;o2_test	TRUE	TRUE	R						base	4.4.2	yes			
grid	4.4.2	4.4.2	observed_on_hpc	o2_runtime	TRUE	TRUE	R						base	4.4.2	yes			
gridExtra	2.3	2.3	observed_on_hpc	o2_runtime	FALSE	TRUE	Repository	CRAN						4.4.1	no			
