fit,seed,rank,parameter,value
invivo,seed25,1,lam_max,0.238802464684995
invivo,seed25,1,o2_min,0.0
invivo,seed25,1,p_mis_base,0.0004953454600379
invivo,seed25,1,p_misseg,0.186505530221572
invivo,seed25,1,k_o_mis,0.0027445872539549
invivo,seed25,1,buffer_smax,0.91383579399473
invivo,seed25,1,buffer_beta,0.227352097320628
invivo,seed25,1,buffer_n_exp,10.0
invivo,seed25,1,p_wgd,1.24027325450911e-05
invivo,seed25,1,o2_S0,3.97501050922981
invivo,seed25,1,kappa_O,1.06098724029744
invivo,seed25,1,eta_o2,1.00311629369371
invivo,seed25,1,rho_2N,119495.533069927
invivo,seed25,1,alpha_o2,1.74037848667329
invivo,seed25,1,gamma_growth,2.86237213071632
invivo,seed25,1,mu_hp,0.0498842540247737
invivo,seed25,1,gamma_mu,2.6787234895116
invivo,seed25,1,O2_crit,0.168760323014007
invivo,seed25,1,n_O,1.6636073078992
invivo,seed25,1,k_clear,0.0086538974306416
invivo,seed25,1,sigma_burden,0.15
invivo,seed25,1,tau_O2,0.1
invivo,seed25,1,c_vol_2N_eff_mm3,8.36851365326617e-06
invivo,seed25,1,ratio_4N_2N,1.0
invivo,seed25,1,alpha,0.0
invivo,seed25,1,gamma,1.0
invivo,seed366,2,lam_max,0.238916831366556
invivo,seed366,2,o2_min,0.0
invivo,seed366,2,p_mis_base,8.81599401735714e-06
invivo,seed366,2,p_misseg,0.117357584120704
invivo,seed366,2,k_o_mis,0.0010288852592723
invivo,seed366,2,buffer_smax,0.908515590155285
invivo,seed366,2,buffer_beta,0.165387798276667
invivo,seed366,2,buffer_n_exp,10.0
invivo,seed366,2,p_wgd,0.0001820019398752
invivo,seed366,2,o2_S0,3.33679808457665
invivo,seed366,2,kappa_O,0.814615901380478
invivo,seed366,2,eta_o2,1.15425630907038
invivo,seed366,2,rho_2N,149647.900441877
invivo,seed366,2,alpha_o2,2.69193308007453
invivo,seed366,2,gamma_growth,3.30758726253307
invivo,seed366,2,mu_hp,0.0513477916983572
invivo,seed366,2,gamma_mu,2.63750521250042
invivo,seed366,2,O2_crit,0.222506744860626
invivo,seed366,2,n_O,2.17248485215607
invivo,seed366,2,k_clear,0.0154499200334344
invivo,seed366,2,sigma_burden,0.15
invivo,seed366,2,tau_O2,0.1
invivo,seed366,2,c_vol_2N_eff_mm3,6.6823523554104e-06
invivo,seed366,2,ratio_4N_2N,1.0
invivo,seed366,2,alpha,0.0
invivo,seed366,2,gamma,1.0
invivo,seed292,3,lam_max,0.242843890129476
invivo,seed292,3,o2_min,0.0
